Energy,DOS,Error
0.01239,2.38E-04,5.87E-07
0.02557,9.75E-04,2.34E-06
0.03881,0.00176,4.92E-06
0.05212,0.00252,7.86E-06
0.0655,0.00306,1.07E-05
0.07895,0.00326,1.31E-05
0.09247,0.00314,1.47E-05
0.10607,0.00273,1.53E-05
0.11974,0.00221,1.48E-05
0.13348,0.00163,1.38E-05
0.1473,0.00113,1.24E-05
0.16119,7.41E-04,1.10E-05
0.17516,4.86E-04,9.95E-06
0.1892,3.52E-04,9.91E-06
0.20332,2.88E-04,1.03E-05
0.21752,2.63E-04,1.17E-05
0.23179,2.43E-04,1.22E-05
0.24614,2.36E-04,1.33E-05
0.26057,2.36E-04,1.50E-05
0.27507,2.41E-04,1.53E-05
0.28966,2.24E-04,1.69E-05
0.30433,2.26E-04,1.91E-05
0.31907,2.29E-04,1.91E-05
0.3339,2.43E-04,2.01E-05
0.34881,2.26E-04,2.03E-05
0.36381,2.23E-04,2.49E-05
0.37888,2.19E-04,2.45E-05
0.39404,2.30E-04,2.65E-05
0.40928,2.34E-04,2.64E-05
0.42461,2.35E-04,2.70E-05
0.44003,2.28E-04,3.24E-05
0.45553,2.13E-04,3.14E-05
0.47112,2.05E-04,3.04E-05
0.48679,2.08E-04,3.40E-05
0.50255,2.02E-04,3.68E-05
0.5184,1.88E-04,3.48E-05
0.53435,1.72E-04,3.78E-05
0.55038,1.76E-04,4.37E-05
0.5665,1.92E-04,3.90E-05
0.58271,2.17E-04,4.02E-05
0.59902,2.08E-04,4.32E-05
0.61542,2.02E-04,4.65E-05
0.63191,1.64E-04,4.83E-05
0.64849,1.90E-04,5.32E-05
0.66518,1.85E-04,5.17E-05
0.68195,2.03E-04,5.32E-05
0.69883,2.17E-04,5.69E-05
0.7158,2.00E-04,5.28E-05
0.73287,1.79E-04,5.84E-05
0.75004,1.63E-04,6.21E-05
0.7673,2.09E-04,5.67E-05
0.78467,2.38E-04,6.79E-05
0.80214,2.27E-04,6.79E-05
0.81971,2.69E-04,6.45E-05
0.83738,3.14E-04,6.61E-05
0.85516,2.97E-04,6.67E-05
0.87304,2.52E-04,7.22E-05
0.89103,2.47E-04,7.57E-05
0.90912,2.91E-04,6.96E-05
0.92731,3.11E-04,7.19E-05
0.94562,2.77E-04,8.10E-05
0.96403,2.55E-04,8.27E-05
0.98256,2.30E-04,7.63E-05
1.00119,2.34E-04,9.32E-05
1.01994,2.31E-04,9.43E-05
1.03879,2.68E-04,8.93E-05
1.05776,2.51E-04,8.94E-05
1.07685,3.28E-04,9.30E-05
1.09604,3.33E-04,8.57E-05
1.11536,3.88E-04,9.86E-05
1.13478,3.88E-04,9.04E-05
1.15433,3.64E-04,9.70E-05
1.174,3.92E-04,9.57E-05
1.19378,3.66E-04,9.53E-05
1.21369,3.64E-04,1.03E-04
1.23371,4.03E-04,1.10E-04
1.25386,3.95E-04,1.02E-04
1.27413,4.16E-04,1.12E-04
1.29453,3.41E-04,1.13E-04
1.31505,3.52E-04,1.18E-04
1.3357,4.68E-04,1.14E-04
1.35647,4.49E-04,1.20E-04
1.37737,4.70E-04,1.21E-04
1.3984,3.56E-04,1.27E-04
1.41957,3.84E-04,1.25E-04
1.44086,3.36E-04,1.14E-04
1.46229,3.54E-04,1.21E-04
1.48385,4.07E-04,1.23E-04
1.50554,4.14E-04,1.12E-04
1.52737,3.73E-04,1.40E-04
1.54934,3.37E-04,1.30E-04
1.57145,4.79E-04,1.36E-04
1.5937,5.59E-04,1.25E-04
1.61608,6.26E-04,1.40E-04
1.63861,4.85E-04,1.25E-04
1.66128,4.60E-04,1.44E-04
1.6841,3.90E-04,1.42E-04
1.70706,4.39E-04,1.43E-04
1.73017,4.95E-04,1.26E-04
1.75342,4.62E-04,1.48E-04
1.77683,5.18E-04,1.48E-04
1.80038,4.82E-04,1.45E-04
1.82409,4.78E-04,1.50E-04
1.84795,4.75E-04,1.62E-04
1.87197,5.53E-04,1.52E-04
1.89614,6.77E-04,1.49E-04
1.92046,7.28E-04,1.38E-04
1.94495,7.27E-04,1.46E-04
1.9696,7.75E-04,1.56E-04
1.9944,7.30E-04,1.59E-04
2.01937,7.58E-04,1.62E-04
2.04451,8.14E-04,1.56E-04
2.06981,8.27E-04,1.49E-04
2.09527,7.58E-04,1.55E-04
2.12091,7.36E-04,1.66E-04
2.14671,6.84E-04,1.59E-04
2.17269,7.22E-04,1.65E-04
2.19884,7.08E-04,1.54E-04
2.22516,8.84E-04,1.56E-04
2.25166,8.09E-04,1.62E-04
2.27834,7.63E-04,1.66E-04
2.30519,6.72E-04,1.63E-04
2.33223,8.50E-04,1.81E-04
2.35945,8.49E-04,1.69E-04
2.38685,8.44E-04,1.74E-04
2.41444,7.45E-04,1.76E-04
2.44222,7.09E-04,1.68E-04
2.47018,7.02E-04,1.78E-04
2.49834,7.81E-04,1.81E-04
2.52669,8.72E-04,1.65E-04
2.55523,8.41E-04,1.77E-04
2.58397,7.15E-04,1.75E-04
2.61291,8.00E-04,1.88E-04
2.64205,9.22E-04,1.90E-04
2.67139,0.00107,1.68E-04
2.70093,0.00101,1.82E-04
2.73068,0.00103,1.91E-04
2.76063,0.00106,1.78E-04
2.7908,0.00108,1.79E-04
2.82117,0.00107,1.70E-04
2.85176,0.00113,1.84E-04
