Energy,DOS,Error
0.02108,3.85E-04,6.34E-07
0.0343,8.73E-04,1.53E-06
0.04759,0.00132,2.62E-06
0.06094,0.00167,3.71E-06
0.07437,0.00184,4.67E-06
0.08787,0.00183,5.34E-06
0.10145,0.00164,5.64E-06
0.11509,0.00138,5.54E-06
0.12881,0.00108,5.26E-06
0.1426,8.23E-04,4.81E-06
0.15647,6.24E-04,4.39E-06
0.17041,4.94E-04,4.06E-06
0.18442,4.21E-04,4.12E-06
0.19852,3.90E-04,4.38E-06
0.21269,3.77E-04,4.67E-06
0.22693,3.76E-04,5.01E-06
0.24126,3.81E-04,5.29E-06
0.25566,3.90E-04,5.84E-06
0.27014,4.03E-04,6.17E-06
0.2847,4.10E-04,6.55E-06
0.29934,4.12E-04,6.72E-06
0.31406,4.14E-04,6.91E-06
0.32886,4.20E-04,7.39E-06
0.34374,4.34E-04,7.75E-06
0.3587,4.43E-04,8.28E-06
0.37375,4.53E-04,8.68E-06
0.38888,4.56E-04,8.84E-06
0.4041,4.62E-04,9.31E-06
0.4194,4.77E-04,9.51E-06
0.43478,4.93E-04,1.03E-05
0.45025,4.96E-04,1.08E-05
0.46581,5.02E-04,1.07E-05
0.48146,5.07E-04,1.14E-05
0.49719,5.18E-04,1.15E-05
0.51301,5.21E-04,1.19E-05
0.52892,5.24E-04,1.22E-05
0.54492,5.37E-04,1.28E-05
0.56101,5.39E-04,1.32E-05
0.5772,5.50E-04,1.38E-05
0.59347,5.52E-04,1.44E-05
0.60984,5.61E-04,1.46E-05
0.6263,5.65E-04,1.37E-05
0.64285,5.84E-04,1.46E-05
0.6595,5.98E-04,1.62E-05
0.67625,6.02E-04,1.58E-05
0.69309,6.11E-04,1.63E-05
0.71002,6.23E-04,1.67E-05
0.72706,6.35E-04,1.76E-05
0.74419,6.45E-04,1.66E-05
0.76143,6.52E-04,1.83E-05
0.77876,6.68E-04,1.87E-05
0.79619,6.77E-04,1.85E-05
0.81373,6.82E-04,1.90E-05
0.83137,6.94E-04,2.09E-05
0.84911,6.99E-04,2.06E-05
0.86695,7.13E-04,2.08E-05
0.88491,7.26E-04,2.21E-05
0.90296,7.39E-04,2.17E-05
0.92112,7.48E-04,2.27E-05
0.93939,7.54E-04,2.19E-05
0.95777,7.56E-04,2.19E-05
0.97626,7.62E-04,2.28E-05
0.99485,7.78E-04,2.36E-05
1.01356,8.07E-04,2.47E-05
1.03238,8.35E-04,2.46E-05
1.05131,8.56E-04,2.49E-05
1.07035,8.47E-04,2.70E-05
1.08951,8.52E-04,2.59E-05
1.10878,8.47E-04,2.57E-05
1.12817,8.73E-04,2.53E-05
1.14768,8.94E-04,2.61E-05
1.16731,9.18E-04,2.80E-05
1.18705,9.56E-04,2.98E-05
1.20691,9.70E-04,2.96E-05
1.2269,9.48E-04,2.91E-05
1.247,9.40E-04,2.70E-05
1.26723,9.52E-04,3.03E-05
1.28759,1.00E-03,2.94E-05
1.30806,1.01E-03,3.11E-05
1.32867,1.01E-03,3.04E-05
1.3494,1.02E-03,3.16E-05
1.37026,1.05E-03,3.09E-05
1.39125,1.10E-03,3.38E-05
1.41236,1.10E-03,3.30E-05
1.43361,1.12E-03,3.26E-05
1.455,1.07E-03,3.51E-05
1.47651,1.08E-03,3.34E-05
1.49816,1.08E-03,3.41E-05
1.51994,1.12E-03,3.46E-05
1.54187,1.13E-03,3.38E-05
1.56393,1.14E-03,3.33E-05
1.58613,1.13E-03,3.64E-05
1.60846,1.17E-03,3.53E-05
1.63094,1.19E-03,3.63E-05
1.65357,1.25E-03,3.67E-05
1.67633,1.25E-03,3.73E-05
1.69925,1.27E-03,3.72E-05
1.7223,1.27E-03,3.76E-05
1.74551,1.29E-03,3.97E-05
1.76886,1.32E-03,3.79E-05
1.79237,1.31E-03,4.06E-05
1.81602,1.34E-03,4.01E-05
1.83983,1.36E-03,4.10E-05
1.86379,1.39E-03,3.95E-05
1.88791,1.42E-03,4.09E-05
1.91219,1.44E-03,4.20E-05
1.93662,1.50E-03,4.28E-05
1.96121,1.49E-03,4.24E-05
1.98596,1.50E-03,4.25E-05
2.01088,1.51E-03,4.19E-05
2.03595,1.55E-03,4.43E-05
2.0612,1.62E-03,4.37E-05
2.08661,1.66E-03,4.59E-05
2.11218,1.72E-03,4.37E-05
2.13793,1.72E-03,4.62E-05
2.16385,1.77E-03,4.61E-05
2.18994,1.76E-03,4.74E-05
2.2162,1.79E-03,4.63E-05
2.24264,1.77E-03,4.62E-05
2.26926,1.81E-03,4.70E-05
2.29605,1.81E-03,4.80E-05
2.32303,1.85E-03,4.80E-05
2.35019,1.85E-03,4.76E-05
2.37753,1.89E-03,4.83E-05
2.40505,1.91E-03,4.89E-05
2.43276,1.93E-03,5.12E-05
2.46067,1.96E-03,4.91E-05
2.48876,1.96E-03,4.89E-05
2.51704,1.97E-03,4.93E-05
2.54552,2.00E-03,5.03E-05
2.57419,2.03E-03,5.06E-05
2.60306,2.07E-03,4.90E-05
2.63213,2.07E-03,5.35E-05
2.6614,2.10E-03,5.13E-05
2.69087,0.0021,5.27E-05
2.72055,0.00217,5.30E-05
2.75044,2.20E-03,5.48E-05
2.78053,0.00223,5.41E-05
2.81083,0.00228,5.32E-05
2.84135,0.0023,5.50E-05
2.87208,0.00236,5.56E-05
2.90303,0.00231,5.58E-05
2.93419,0.00239,5.20E-05
2.96558,0.00242,5.65E-05
2.99718,0.00248,5.69E-05
3.02902,0.00246,5.61E-05
3.06108,0.00247,5.42E-05
3.09337,0.00246,5.62E-05
3.12589,0.00252,5.62E-05
3.15864,0.00257,5.75E-05
3.19163,0.0026,5.68E-05
3.22486,0.00261,5.65E-05
3.25832,0.00263,5.77E-05
3.29203,0.00269,5.88E-05
3.32599,0.00275,5.89E-05
3.36019,0.00283,6.10E-05
3.39464,0.00287,6.04E-05
3.42934,0.0029,5.84E-05
3.4643,0.00294,6.21E-05
3.49952,0.003,6.09E-05
3.535,0.00303,6.04E-05
3.57073,0.00306,6.20E-05
3.60673,0.00312,6.21E-05
3.643,0.00315,6.28E-05
3.67954,0.00318,6.21E-05
3.71636,0.00318,6.28E-05
3.75344,0.00321,6.39E-05
3.79081,0.00324,6.50E-05
3.82846,0.00329,6.20E-05
3.86639,0.00329,6.33E-05
3.9046,0.00338,6.28E-05
3.94311,0.00335,6.33E-05
