Energy,DOS,Error
0.02208,7.15E-04,1.18E-06
0.0353,1.56E-03,2.75E-06
0.04859,0.00233,4.62E-06
0.06195,0.0029,6.50E-06
0.07539,0.00315,8.07E-06
0.08889,0.00306,9.15E-06
0.10247,0.0027,9.57E-06
0.11612,0.00217,9.38E-06
0.12984,0.00162,8.59E-06
0.14364,0.00113,7.54E-06
0.15751,7.55E-04,6.53E-06
0.17146,5.07E-04,5.68E-06
0.18548,3.65E-04,5.53E-06
0.19958,2.95E-04,5.78E-06
0.21375,2.66E-04,6.34E-06
0.22801,2.51E-04,6.64E-06
0.24234,2.47E-04,6.88E-06
0.25674,2.48E-04,7.62E-06
0.27123,2.54E-04,8.10E-06
0.28579,2.58E-04,8.45E-06
0.30044,2.62E-04,8.98E-06
0.31517,2.58E-04,9.62E-06
0.32997,2.53E-04,9.79E-06
0.34486,2.42E-04,9.80E-06
0.35983,2.40E-04,1.00E-05
0.37489,2.37E-04,1.09E-05
0.39002,2.40E-04,1.15E-05
0.40525,2.40E-04,1.16E-05
0.42055,2.45E-04,1.21E-05
0.43594,2.39E-04,1.25E-05
0.45142,2.33E-04,1.30E-05
0.46699,2.19E-04,1.37E-05
0.48264,2.24E-04,1.39E-05
0.49838,2.24E-04,1.43E-05
0.5142,2.39E-04,1.36E-05
0.53012,2.32E-04,1.52E-05
0.54613,2.31E-04,1.54E-05
0.56223,2.22E-04,1.54E-05
0.57842,2.14E-04,1.51E-05
0.5947,2.19E-04,1.57E-05
0.61107,2.19E-04,1.75E-05
0.62754,2.30E-04,1.77E-05
0.6441,2.18E-04,1.81E-05
0.66076,2.29E-04,1.87E-05
0.67751,2.25E-04,1.80E-05
0.69436,2.31E-04,1.93E-05
0.7113,2.20E-04,2.03E-05
0.72834,2.22E-04,1.83E-05
0.74549,2.26E-04,1.91E-05
0.76273,2.36E-04,2.08E-05
0.78007,2.40E-04,2.25E-05
0.79751,2.45E-04,1.93E-05
0.81505,2.40E-04,2.19E-05
0.8327,2.45E-04,2.28E-05
0.85045,2.50E-04,2.10E-05
0.8683,2.45E-04,2.10E-05
0.88626,2.60E-04,2.46E-05
0.90432,2.65E-04,2.36E-05
0.92249,2.76E-04,2.65E-05
0.94077,2.84E-04,2.49E-05
0.95915,2.97E-04,2.54E-05
0.97765,3.15E-04,2.84E-05
0.99625,2.97E-04,2.89E-05
1.01497,3.01E-04,2.60E-05
1.0338,2.85E-04,2.58E-05
1.05273,3.04E-04,2.80E-05
1.07179,2.94E-04,2.90E-05
1.09096,3.02E-04,2.96E-05
1.11024,2.98E-04,2.99E-05
1.12964,3.28E-04,3.22E-05
1.14915,3.38E-04,3.00E-05
1.16879,3.45E-04,3.13E-05
1.18854,3.28E-04,3.42E-05
1.20841,3.35E-04,3.49E-05
1.2284,3.65E-04,3.64E-05
1.24852,3.99E-04,3.75E-05
1.26876,4.24E-04,3.75E-05
1.28912,3.83E-04,3.36E-05
1.30961,3.75E-04,3.07E-05
1.33022,3.81E-04,3.64E-05
1.35096,4.37E-04,3.61E-05
1.37183,4.37E-04,3.99E-05
1.39283,4.37E-04,3.73E-05
1.41396,4.33E-04,4.09E-05
1.43522,4.46E-04,3.82E-05
1.45661,4.41E-04,3.88E-05
1.47813,4.59E-04,3.76E-05
1.49979,4.75E-04,4.20E-05
1.52159,5.29E-04,4.49E-05
1.54352,5.30E-04,4.30E-05
