Energy (meV),DOS
0,0.047761678
0.1,3.04E-51
0.2,3.95E-51
0.3,5.13E-51
0.4,6.67E-51
0.5,8.65E-51
0.6,1.12E-50
0.7,1.46E-50
0.8,2.48E-46
0.9,1.75E-22
1,3.58E-08
1.1,0.002107574
1.2,3.58E-08
1.3,1.75E-22
1.4,5.12E-46
1.5,3.82E-37
1.6,4.62E-29
1.7,4.67E-22
1.8,3.95E-16
1.9,2.79E-11
2,1.65E-07
2.1,8.16E-05
2.2,0.003376244
2.3,0.011675174
2.4,0.003376244
2.5,8.16E-05
2.6,1.65E-07
2.7,2.79E-11
2.8,8.24E-13
2.9,2.47E-10
3,3.08E-08
3.1,1.60E-06
3.2,3.45E-05
3.3,0.000309162
3.4,0.001152991
3.5,0.001788021
3.6,0.001152991
3.7,0.000309162
3.8,3.45E-05
3.9,1.61E-06
4,2.98E-07
4.1,3.36E-06
4.2,2.67E-05
4.3,0.000133654
4.4,0.000422356
4.5,0.000842359
4.6,0.001060319
4.7,0.000842359
4.8,0.000422358
4.9,0.000133671
5,2.69E-05
5.1,4.63E-06
5.2,7.54E-06
5.3,3.19E-05
5.4,0.000107005
5.5,0.000274284
5.6,0.000537279
5.7,0.000804266
5.8,0.000920036
5.9,0.000804356
6,0.000537847
6.1,0.000277264
6.2,0.00012014
6.3,8.05E-05
6.4,0.00015846
6.5,0.000396067
6.6,0.000866009
6.7,0.001594818
6.8,0.002467088
6.9,0.003205335
7,0.003497681
7.1,0.003205795
7.2,0.002468824
7.3,0.00160032
7.4,0.000881327
7.5,0.000433283
7.6,0.000235886
7.7,0.000213727
7.8,0.000298202
7.9,0.000438964
8,0.00059127
8.1,0.000709301
8.2,0.00075523
8.3,0.000715087
8.4,0.000606518
8.5,0.000470779
8.6,0.000354004
8.7,0.000289595
8.8,0.000289976
8.9,0.000347665
9,0.000441023
9.1,0.000541205
9.2,0.000619822
9.3,0.000657317
9.4,0.000650239
9.5,0.000614288
9.6,0.00058112
9.7,0.000589736
9.8,0.000675423
9.9,0.000859411
10,0.001141361
10.1,0.001495956
10.2,0.001874871
10.3,0.002215164
10.4,0.00245357
10.5,0.002543324
10.6,0.002467814
10.7,0.00224555
10.8,0.001924152
10.9,0.001565723
11,0.001229456
11.1,0.000957785
11.2,0.000769973
11.3,0.000663443
11.4,0.000620387
11.5,0.000616271
11.6,0.000627447
11.7,0.000636372
11.8,0.000634034
11.9,0.000619884
12,0.000599854
12.1,0.000583234
12.2,0.000579247
12.3,0.000594138
12.4,0.000629393
12.5,0.000681417
12.6,0.000742582
12.7,0.000803269
12.8,0.00085429
12.9,0.000889072
13,0.000905046
13.1,0.00090397
13.2,0.000891166
13.3,0.000873956
13.4,0.000859785
13.5,0.000854563
13.6,0.000861669
13.7,0.000881814
13.8,0.000913701
13.9,0.000955178
14,0.001004468
14.1,0.001061047
14.2,0.001125901
14.3,0.001201085
14.4,0.001288727
