Energy,DOS
0.01292,-0.06951
0.02585,1.96E-02
0.03877,-0.0374
0.0517,1.98E-02
0.06462,-0.0378
0.07755,1.98E-02
0.09047,-0.03733
0.10339,1.98E-02
0.11632,-0.03787
0.12924,2.01E-02
0.14217,-0.03809
0.15509,2.00E-02
0.16802,-0.03812
0.18094,2.00E-02
0.19387,-0.03804
0.20679,2.01E-02
0.21971,-0.03816
0.23264,2.01E-02
0.24556,-0.03757
0.25849,2.02E-02
0.27141,-0.03815
0.28434,2.03E-02
0.29726,-0.03838
0.31018,2.04E-02
0.32311,-0.03807
0.33603,0.02062
0.34896,-0.03861
0.36188,0.02077
0.37481,-0.03807
0.38773,2.05E-02
0.40066,-0.03785
0.41358,0.02066
0.4265,-0.03737
0.43943,0.02056
0.45235,-0.03812
0.46528,0.02062
0.4782,-0.03781
0.49113,0.02066
0.50405,-3.84E-02
0.51697,0.02069
0.5299,-0.03788
0.54282,0.02053
0.55575,-0.03843
0.56867,0.02077
0.5816,-0.03788
0.59452,0.02144
0.60745,-0.03618
0.62037,0.01891
0.63329,-0.02985
0.64622,0.01558
0.65914,-0.02239
0.67207,0.01153
0.68499,-0.01548
0.69792,0.00867
0.71084,-0.01024
0.72376,6.43E-03
0.73669,-5.79E-03
0.74961,4.75E-03
0.76254,-2.88E-03
0.77546,3.73E-03
0.78839,-9.26E-04
0.80131,0.00282
0.81424,2.26E-04
0.82716,2.24E-03
0.84008,0.001
0.85301,2.31E-03
0.86593,1.79E-03
0.87886,2.27E-03
0.89178,2.02E-03
0.90471,2.26E-03
0.91763,2.31E-03
0.93055,2.57E-03
0.94348,2.53E-03
0.9564,2.21E-03
0.96933,2.01E-03
0.98225,2.01E-03
0.99518,2.07E-03
1.0081,2.09E-03
1.02103,2.20E-03
1.03395,2.44E-03
1.04687,2.79E-03
1.0598,3.04E-03
1.07272,3.05E-03
1.08565,2.83E-03
1.09857,2.57E-03
1.1115,2.44E-03
1.12442,2.47E-03
1.13734,2.54E-03
1.15027,2.56E-03
1.16319,2.53E-03
1.17612,2.51E-03
1.18904,2.52E-03
1.20197,2.56E-03
1.21489,2.62E-03
1.22782,2.70E-03
1.24074,2.84E-03
1.25366,3.05E-03
1.26659,3.36E-03
1.27951,3.72E-03
1.29244,4.03E-03
1.30536,4.19E-03
1.31829,4.20E-03
1.33121,4.12E-03
1.34413,4.03E-03
1.35706,3.99E-03
1.36998,4.02E-03
1.38291,4.11E-03
1.39583,4.23E-03
1.40876,4.36E-03
1.42168,4.47E-03
1.43461,4.54E-03
1.44753,4.55E-03
1.46045,4.51E-03
1.47338,4.42E-03
1.4863,4.33E-03
1.49923,4.26E-03
1.51215,4.24E-03
1.52508,4.30E-03
1.538,4.42E-03
1.55092,4.61E-03
1.56385,4.84E-03
1.57677,5.08E-03
1.5897,5.32E-03
1.60262,5.52E-03
1.61555,5.67E-03
1.62847,5.78E-03
1.6414,5.84E-03
1.65432,5.87E-03
1.66724,5.90E-03
1.68017,5.93E-03
1.69309,6.00E-03
1.70602,6.09E-03
1.71894,6.23E-03
1.73187,6.42E-03
1.74479,6.69E-03
1.75771,7.03E-03
1.77064,7.46E-03
1.78356,7.98E-03
1.79649,8.56E-03
1.80941,9.17E-03
1.82234,9.78E-03
1.83526,1.03E-02
1.84819,1.07E-02
1.86111,1.10E-02
1.87403,1.11E-02
1.88696,1.10E-02
1.89988,1.08E-02
1.91281,1.05E-02
1.92573,1.02E-02
1.93866,9.98E-03
1.95158,9.88E-03
1.9645,9.92E-03
1.97743,1.01E-02
1.99035,1.04E-02
2.00328,1.08E-02
2.0162,1.13E-02
2.02913,1.19E-02
2.04205,1.25E-02
2.05498,1.32E-02
2.0679,1.39E-02
2.08082,1.47E-02
2.09375,1.57E-02
2.10667,1.67E-02
2.1196,1.79E-02
2.13252,1.91E-02
2.14545,2.03E-02
2.15837,2.15E-02
2.17129,2.28E-02
2.18422,2.40E-02
2.19714,2.54E-02
2.21007,2.68E-02
2.22299,2.84E-02
2.23592,3.03E-02
2.24884,3.25E-02
2.26177,3.51E-02
2.27469,3.81E-02
2.28761,4.16E-02
2.30054,4.56E-02
2.31346,5.01E-02
2.32639,5.51E-02
2.33931,6.07E-02
2.35224,6.67E-02
2.36516,7.31E-02
2.37808,7.96E-02
2.39101,8.61E-02
2.40393,9.22E-02
2.41686,9.76E-02
2.42978,1.02E-01
2.44271,1.05E-01
2.45563,1.07E-01
2.46856,1.08E-01
2.48148,1.07E-01
2.4944,1.05E-01
2.50733,1.02E-01
2.52025,9.82E-02
2.53318,9.35E-02
2.5461,8.84E-02
2.55903,8.31E-02
2.57195,7.77E-02
2.58487,7.26E-02
2.5978,6.78E-02
2.61072,6.34E-02
2.62365,5.96E-02
2.63657,5.63E-02
2.6495,5.37E-02
2.66242,5.15E-02
2.67535,4.98E-02
2.68827,4.84E-02
2.70119,4.74E-02
2.71412,4.67E-02
2.72704,4.63E-02
2.73997,4.61E-02
2.75289,4.62E-02
2.76582,4.65E-02
2.77874,4.71E-02
2.79166,4.81E-02
2.80459,4.92E-02
2.81751,5.07E-02
2.83044,5.23E-02
2.84336,5.40E-02
2.85629,5.59E-02
2.86921,5.78E-02
2.88214,5.96E-02
2.89506,6.14E-02
2.90798,6.31E-02
2.92091,6.45E-02
2.93383,6.58E-02
2.94676,6.67E-02
2.95968,6.73E-02
2.97261,6.75E-02
2.98553,6.73E-02
2.99845,6.68E-02
3.01138,6.60E-02
3.0243,6.48E-02
3.03723,6.35E-02
3.05015,6.20E-02
3.06308,6.05E-02
3.076,5.91E-02
3.08893,5.79E-02
3.10185,5.70E-02
3.11477,5.65E-02
3.1277,5.63E-02
3.14062,5.67E-02
3.15355,5.75E-02
3.16647,5.87E-02
3.1794,6.04E-02
3.19232,6.24E-02
3.20524,6.47E-02
3.21817,6.73E-02
3.23109,7.01E-02
3.24402,7.30E-02
3.25694,7.59E-02
3.26987,7.89E-02
3.28279,8.18E-02
3.29571,8.46E-02
3.30864,8.74E-02
3.32156,9.00E-02
3.33449,9.25E-02
3.34741,9.50E-02
3.36034,9.73E-02
3.37326,9.94E-02
3.38619,1.01E-01
3.39911,1.03E-01
3.41203,1.05E-01
3.42496,1.06E-01
3.43788,1.07E-01
3.45081,1.08E-01
3.46373,1.09E-01
3.47666,1.09E-01
3.48958,1.09E-01
3.5025,1.08E-01
3.51543,1.07E-01
3.52835,1.06E-01
3.54128,1.04E-01
3.5542,1.02E-01
3.56713,9.96E-02
3.58005,9.72E-02
3.59298,9.47E-02
3.6059,0.09208
3.61882,0.08952
3.63175,0.08703
3.64467,0.08466
3.6576,0.08246
3.67052,0.08046
3.68345,0.07868
3.69637,0.07713
3.70929,0.07582
3.72222,0.07475
3.73514,0.0739
3.74807,0.07327
3.76099,0.07283
3.77392,0.07257
3.78684,0.07248
3.79977,0.07252
3.81269,0.0727
3.82561,0.07299
3.83854,0.07339
3.85146,0.07388
3.86439,0.07448
3.87731,0.07516
3.89024,0.07594
3.90316,0.07681
3.91608,0.07778
3.92901,0.07885
3.94193,0.08002
3.95486,0.0813
3.96778,0.08269
3.98071,0.08418
3.99363,0.08579
4.00656,0.0875
4.01948,0.08931
4.0324,0.09123
4.04533,0.09324
4.05825,0.09534
4.07118,0.09751
4.0841,0.09975
4.09703,0.10205
4.10995,0.1044
4.12287,0.10679
4.1358,0.10921
4.14872,0.11165
4.16165,0.11412
4.17457,0.1166
4.1875,0.11909
4.20042,0.12161
4.21335,0.12415
4.22627,0.12672
4.23919,0.12932
4.25212,0.13197
4.26504,0.13468
4.27797,0.13744
4.29089,0.14026
4.30382,0.14315
4.31674,0.14611
4.32966,0.14913
4.34259,0.15221
4.35551,0.15532
4.36844,0.15845
4.38136,0.16157
4.39429,0.16467
4.40721,0.1677
4.42014,0.17064
4.43306,0.17345
4.44598,0.17609
4.45891,0.17853
4.47183,0.18074
4.48476,0.18267
4.49768,0.18432
4.51061,0.18565
4.52353,0.18666
4.53645,0.18733
4.54938,0.18766
4.5623,0.18766
4.57523,0.18735
4.58815,0.18673
4.60108,0.18585
4.614,0.18472
4.62693,0.18339
4.63985,0.18189
4.65277,0.18027
4.6657,0.17857
4.67862,0.17682
4.69155,0.17507
4.70447,0.17335
4.7174,0.17171
4.73032,0.17016
4.74324,0.16873
4.75617,0.16745
4.76909,0.16634
4.78202,0.16539
4.79494,0.16462
4.80787,0.16403
4.82079,0.16363
4.83372,0.1634
4.84664,0.16334
4.85956,0.16344
4.87249,0.16369
4.88541,0.16408
4.89834,0.1646
4.91126,0.16523
4.92419,0.16596
4.93711,0.16678
4.95003,0.16768
4.96296,0.16864
4.97588,0.16966
4.98881,0.17071
5.00173,0.17181
5.01466,0.17293
5.02758,0.17406
5.04051,0.17521
5.05343,0.17635
5.06635,0.1775
5.07928,0.17864
5.0922,0.17976
5.10513,0.18087
5.11805,0.18196
5.13098,0.18303
5.1439,0.18409
5.15682,0.18512
5.16975,0.18613
5.18267,0.18713
5.1956,0.18811
5.20852,0.18908
5.22145,0.19004
5.23437,0.19099
5.2473,0.19194
5.26022,0.19288
5.27314,0.19383
5.28607,0.19479
5.29899,0.19575
5.31192,0.19672
5.32484,0.1977
5.33777,0.19868
5.35069,0.19968
5.36361,0.20068
5.37654,0.20169
5.38946,0.2027
5.40239,0.20371
5.41531,0.20473
5.42824,0.20574
5.44116,0.20674
5.45409,0.20774
5.46701,0.20873
5.47993,0.20971
5.49286,0.21068
5.50578,0.21163
5.51871,0.21257
5.53163,0.21349
5.54456,0.2144
5.55748,0.2153
5.5704,0.21618
5.58333,0.21706
5.59625,0.21791
5.60918,0.21876
5.6221,0.2196
5.63503,0.22043
5.64795,0.22126
5.66088,0.22207
5.6738,0.22288
5.68672,0.22368
5.69965,0.22448
5.71257,0.22527
5.7255,0.22605
5.73842,0.22683
5.75135,0.22759
5.76427,0.22835
5.77719,0.2291
5.79012,0.22984
5.80304,0.23058
5.81597,0.2313
5.82889,0.23201
5.84182,0.23272
5.85474,0.23341
5.86767,0.2341
5.88059,0.23478
5.89351,0.23545
5.90644,0.23612
5.91936,0.23679
5.93229,0.23745
5.94521,0.23811
5.95814,0.23877
5.97106,0.23943
5.98398,0.2401
5.99691,0.24077
6.00983,0.24144
6.02276,0.24212
6.03568,0.24281
6.04861,0.2435
6.06153,0.2442
6.07446,0.2449
6.08738,0.24561
6.1003,0.24633
6.11323,0.24705
6.12615,0.24777
6.13908,0.2485
6.152,0.24923
6.16493,0.24997
6.17785,0.2507
6.19077,0.25144
6.2037,0.25218
6.21662,0.25292
6.22955,0.25367
6.24247,0.25441
6.2554,0.25516
6.26832,0.25591
6.28124,0.25666
6.29417,0.25742
6.30709,0.25818
6.32002,0.25895
6.33294,0.25973
6.34587,0.26051
6.35879,0.26131
6.37172,0.26211
6.38464,0.26293
6.39756,0.26376
6.41049,0.2646
6.42341,0.26546
6.43634,0.26632
6.44926,0.2672
6.46219,0.2681
6.47511,0.269
6.48803,0.26992
6.50096,0.27084
6.51388,0.27177
6.52681,0.27271
6.53973,0.27366
6.55266,0.2746
6.56558,0.27555
6.57851,0.2765
6.59143,0.27745
6.60435,0.27839
6.61728,0.27932
6.6302,0.28025
6.64313,0.28117
6.65605,0.28207
6.66898,0.28296
6.6819,0.28384
6.69482,0.2847
6.70775,0.28555
6.72067,0.28638
6.7336,0.28719
6.74652,0.28799
6.75945,0.28877
6.77237,0.28954
6.7853,0.29028
6.79822,0.29101
