Energy,DOS
0.01292,0.00956
0.02585,-0.00226
0.03877,0.00478
0.0517,-0.00226
0.06462,0.00478
0.07755,-0.00226
0.09047,0.00478
0.10339,-0.00226
0.11632,0.00478
0.12924,-0.00226
0.14217,0.00478
0.15509,-0.00226
0.16802,0.00479
0.18094,-0.00226
0.19387,0.00479
0.20679,-0.00226
0.21971,0.00479
0.23264,-0.00226
0.24556,0.00479
0.25849,-0.00226
0.27141,0.00479
0.28434,-0.00226
0.29726,0.00479
0.31018,-0.00226
0.32311,0.00479
0.33603,-0.00225
0.34896,0.00479
0.36188,-0.00225
0.37481,0.00479
0.38773,-0.00225
0.40066,0.00479
0.41358,-0.00225
0.4265,0.00479
0.43943,-0.00225
0.45235,0.00479
0.46528,-0.00225
0.4782,0.0048
0.49113,-0.00225
0.50405,0.0048
0.51697,-0.00225
0.5299,0.0048
0.54282,-0.00225
0.55575,0.00482
0.56867,-0.00225
0.5816,0.00479
0.59452,-0.00218
0.60745,0.00452
0.62037,-0.00194
0.63329,0.00382
0.64622,-0.00153
0.65914,0.00292
0.67207,-0.00108
0.68499,0.0021
0.69792,-7.20E-04
0.71084,0.00145
0.72376,-4.31E-04
0.73669,9.79E-04
0.74961,-2.31E-04
0.76254,6.46E-04
0.77546,-8.75E-05
0.78839,4.30E-04
0.80131,2.07E-06
0.81424,2.92E-04
0.82716,6.51E-05
0.84008,2.17E-04
0.85301,9.79E-05
0.86593,1.70E-04
0.87886,1.17E-04
0.89178,1.47E-04
0.90471,1.26E-04
0.91763,1.36E-04
0.93055,1.31E-04
0.94348,1.35E-04
0.9564,1.36E-04
0.96933,1.36E-04
0.98225,1.37E-04
0.99518,1.37E-04
1.0081,1.40E-04
1.02103,1.41E-04
1.03395,1.43E-04
1.04687,1.45E-04
1.0598,1.47E-04
1.07272,1.48E-04
1.08565,1.48E-04
1.09857,1.48E-04
1.1115,1.49E-04
1.12442,1.51E-04
1.13734,1.53E-04
1.15027,1.54E-04
1.16319,1.55E-04
1.17612,1.57E-04
1.18904,1.58E-04
1.20197,1.59E-04
1.21489,1.60E-04
1.22782,1.62E-04
1.24074,1.64E-04
1.25366,1.67E-04
1.26659,1.70E-04
1.27951,1.73E-04
1.29244,1.75E-04
1.30536,1.77E-04
1.31829,1.77E-04
1.33121,1.77E-04
1.34413,1.77E-04
1.35706,1.78E-04
1.36998,1.80E-04
1.38291,1.82E-04
1.39583,1.85E-04
1.40876,1.88E-04
1.42168,1.90E-04
1.43461,1.92E-04
1.44753,1.93E-04
1.46045,1.95E-04
1.47338,1.96E-04
1.4863,1.97E-04
1.49923,1.98E-04
1.51215,1.99E-04
1.52508,2.00E-04
1.538,2.01E-04
1.55092,2.02E-04
1.56385,2.03E-04
1.57677,2.06E-04
1.5897,2.08E-04
1.60262,2.11E-04
1.61555,2.14E-04
1.62847,2.17E-04
1.6414,2.20E-04
1.65432,2.23E-04
1.66724,2.25E-04
1.68017,2.28E-04
1.69309,2.31E-04
1.70602,2.34E-04
1.71894,2.36E-04
1.73187,2.39E-04
1.74479,2.41E-04
1.75771,2.44E-04
1.77064,2.46E-04
1.78356,2.48E-04
1.79649,2.50E-04
1.80941,2.52E-04
1.82234,2.54E-04
1.83526,2.57E-04
1.84819,2.59E-04
1.86111,2.62E-04
1.87403,2.64E-04
1.88696,2.66E-04
1.89988,2.68E-04
1.91281,2.70E-04
1.92573,2.72E-04
1.93866,2.74E-04
1.95158,2.76E-04
1.9645,2.79E-04
1.97743,2.81E-04
1.99035,2.84E-04
2.00328,2.88E-04
2.0162,2.91E-04
2.02913,2.94E-04
2.04205,2.97E-04
2.05498,3.00E-04
2.0679,3.03E-04
2.08082,3.06E-04
2.09375,3.08E-04
2.10667,3.11E-04
2.1196,3.13E-04
2.13252,3.15E-04
2.14545,3.17E-04
2.15837,3.19E-04
2.17129,3.21E-04
2.18422,3.23E-04
2.19714,3.26E-04
2.21007,3.29E-04
2.22299,3.32E-04
2.23592,3.35E-04
2.24884,3.39E-04
2.26177,3.42E-04
2.27469,3.45E-04
2.28761,3.48E-04
2.30054,3.52E-04
2.31346,3.55E-04
2.32639,3.58E-04
2.33931,3.62E-04
2.35224,3.65E-04
2.36516,3.69E-04
2.37808,3.73E-04
2.39101,3.77E-04
2.40393,3.81E-04
2.41686,3.85E-04
2.42978,3.89E-04
2.44271,3.92E-04
2.45563,3.96E-04
2.46856,3.99E-04
2.48148,4.02E-04
2.4944,4.05E-04
2.50733,4.08E-04
2.52025,4.11E-04
2.53318,4.13E-04
2.5461,4.16E-04
2.55903,4.19E-04
2.57195,4.21E-04
2.58487,4.24E-04
2.5978,4.27E-04
2.61072,4.31E-04
2.62365,4.34E-04
2.63657,4.38E-04
2.6495,4.42E-04
2.66242,4.46E-04
2.67535,4.51E-04
2.68827,4.55E-04
2.70119,4.60E-04
2.71412,4.65E-04
2.72704,4.70E-04
2.73997,4.75E-04
2.75289,4.81E-04
2.76582,4.86E-04
2.77874,4.91E-04
2.79166,4.96E-04
2.80459,5.02E-04
2.81751,5.07E-04
2.83044,5.11E-04
2.84336,5.16E-04
2.85629,5.20E-04
2.86921,5.24E-04
2.88214,5.28E-04
2.89506,5.32E-04
2.90798,5.36E-04
2.92091,5.39E-04
2.93383,5.43E-04
2.94676,5.47E-04
2.95968,5.50E-04
2.97261,5.54E-04
2.98553,5.58E-04
2.99845,5.62E-04
3.01138,5.66E-04
3.0243,5.71E-04
3.03723,5.76E-04
3.05015,5.81E-04
3.06308,5.86E-04
3.076,5.92E-04
3.08893,5.98E-04
3.10185,6.04E-04
3.11477,6.11E-04
3.1277,6.18E-04
3.14062,6.26E-04
3.15355,6.33E-04
3.16647,6.41E-04
3.1794,6.49E-04
3.19232,6.57E-04
3.20524,6.65E-04
3.21817,6.73E-04
3.23109,6.82E-04
3.24402,6.90E-04
3.25694,6.99E-04
3.26987,7.07E-04
3.28279,7.16E-04
3.29571,7.25E-04
3.30864,7.34E-04
3.32156,7.42E-04
3.33449,7.52E-04
3.34741,7.61E-04
3.36034,7.70E-04
3.37326,7.79E-04
3.38619,7.89E-04
3.39911,7.99E-04
3.41203,8.09E-04
3.42496,8.19E-04
3.43788,8.31E-04
3.45081,8.44E-04
3.46373,8.58E-04
3.47666,8.75E-04
3.48958,8.95E-04
3.5025,9.20E-04
3.51543,9.51E-04
3.52835,9.90E-04
3.54128,0.00104
3.5542,0.0011
3.56713,0.00119
3.58005,0.0013
3.59298,0.00144
3.6059,0.00162
3.61882,0.00186
3.63175,0.00218
3.64467,0.00258
3.6576,0.00309
3.67052,0.00373
3.68345,0.00455
3.69637,0.00556
3.70929,0.00681
3.72222,0.00834
3.73514,0.01019
3.74807,0.01241
3.76099,0.01503
3.77392,0.01811
3.78684,0.02168
3.79977,0.02576
3.81269,0.03038
3.82561,0.03555
3.83854,0.04124
3.85146,0.04745
3.86439,0.05411
3.87731,0.06116
3.89024,0.06852
3.90316,0.07607
3.91608,0.08368
3.92901,0.09123
3.94193,0.09855
3.95486,0.10548
3.96778,0.11189
3.98071,0.11761
3.99363,0.12251
4.00656,0.12648
4.01948,0.12944
4.0324,0.13133
4.04533,0.13211
4.05825,0.13181
4.07118,0.13046
4.0841,0.12815
4.09703,0.12497
4.10995,0.12105
4.12287,0.11655
4.1358,0.11162
4.14872,0.10642
4.16165,0.10111
4.17457,0.09584
4.1875,0.09075
4.20042,0.08597
4.21335,0.08158
4.22627,0.07766
4.23919,0.07427
4.25212,0.07142
4.26504,0.06911
4.27797,0.06733
4.29089,0.06604
4.30382,0.06519
4.31674,0.0647
4.32966,0.06452
4.34259,0.06455
4.35551,0.06473
4.36844,0.06497
4.38136,0.0652
4.39429,0.06536
4.40721,0.06538
4.42014,0.06522
4.43306,0.06483
