Energy,DOS,Error
0.02055,5.58E-04,2.72E-06
0.03377,1.30E-03,6.30E-06
0.04705,0.00198,1.05E-05
0.0604,0.0025,1.27E-05
0.07383,0.00275,1.43E-05
0.08733,0.0027,1.45E-05
0.1009,0.0024,1.40E-05
0.11454,0.00195,1.17E-05
0.12825,0.00147,9.91E-06
0.14204,0.00104,8.74E-06
0.15591,7.17E-04,7.73E-06
0.16984,4.95E-04,6.45E-06
0.18386,3.69E-04,6.02E-06
0.19795,3.05E-04,6.97E-06
0.21211,2.76E-04,7.23E-06
0.22636,2.64E-04,7.52E-06
0.24068,2.58E-04,8.03E-06
0.25507,2.61E-04,9.64E-06
0.26955,2.60E-04,9.07E-06
0.28411,2.68E-04,9.64E-06
0.29874,2.65E-04,1.04E-05
0.31346,2.62E-04,1.05E-05
0.32826,2.62E-04,1.21E-05
0.34314,2.66E-04,1.14E-05
0.3581,2.77E-04,1.17E-05
0.37314,2.74E-04,1.36E-05
0.38827,2.76E-04,1.47E-05
0.40348,2.72E-04,1.47E-05
0.41878,2.76E-04,1.44E-05
0.43416,2.69E-04,1.54E-05
0.44963,2.70E-04,1.58E-05
0.46518,2.60E-04,1.82E-05
0.48082,2.67E-04,2.02E-05
0.49655,2.58E-04,1.71E-05
0.51237,2.71E-04,1.59E-05
0.52828,2.69E-04,1.81E-05
0.54428,2.76E-04,2.29E-05
0.56036,2.71E-04,2.00E-05
0.57654,2.83E-04,1.89E-05
0.59281,2.83E-04,2.23E-05
0.60917,2.90E-04,2.08E-05
0.62563,2.82E-04,2.59E-05
0.64218,2.81E-04,2.22E-05
0.65883,2.86E-04,2.78E-05
0.67557,2.84E-04,2.18E-05
0.69241,2.89E-04,2.42E-05
0.70934,3.00E-04,2.82E-05
0.72637,3.10E-04,2.41E-05
0.7435,3.16E-04,2.62E-05
0.76073,3.04E-04,2.88E-05
0.77806,3.21E-04,2.93E-05
0.79549,3.35E-04,2.44E-05
0.81302,3.29E-04,2.78E-05
0.83065,3.15E-04,3.02E-05
0.84839,3.25E-04,2.62E-05
0.86623,3.40E-04,2.67E-05
0.88418,3.53E-04,3.36E-05
0.90223,3.48E-04,2.83E-05
0.92039,3.67E-04,3.58E-05
0.93865,3.73E-04,3.44E-05
0.95703,3.88E-04,2.92E-05
0.97551,3.90E-04,3.60E-05
0.9941,3.90E-04,4.07E-05
1.0128,4.11E-04,3.41E-05
1.03162,4.30E-04,3.23E-05
1.05054,4.27E-04,4.51E-05
1.06958,4.16E-04,3.50E-05
1.08874,4.10E-04,4.50E-05
1.108,4.04E-04,4.33E-05
1.12739,4.13E-04,4.19E-05
1.14689,4.17E-04,3.63E-05
1.16651,4.30E-04,4.26E-05
1.18625,4.27E-04,4.44E-05
1.20611,4.22E-04,4.97E-05
1.22609,4.62E-04,4.86E-05
1.24619,4.70E-04,5.19E-05
1.26642,5.04E-04,4.55E-05
1.28676,4.96E-04,4.28E-05
1.30724,5.05E-04,4.31E-05
1.32784,5.07E-04,4.63E-05
1.34856,5.23E-04,4.34E-05
1.36942,5.31E-04,5.16E-05
1.3904,5.17E-04,4.63E-05
1.41151,5.28E-04,5.57E-05
1.43276,5.17E-04,5.17E-05
1.45413,5.53E-04,4.87E-05
1.47564,5.64E-04,5.04E-05
1.49728,5.72E-04,5.23E-05
1.51906,5.78E-04,5.54E-05
1.54098,5.99E-04,5.04E-05
1.56303,6.50E-04,5.62E-05
1.58523,6.41E-04,4.86E-05
1.60756,6.32E-04,5.75E-05
1.63003,6.39E-04,7.60E-05
1.65265,6.56E-04,5.30E-05
1.67541,6.29E-04,6.60E-05
1.69832,6.06E-04,6.36E-05
1.72137,5.94E-04,5.98E-05
1.74457,6.43E-04,6.13E-05
1.76792,6.86E-04,5.93E-05
1.79142,7.22E-04,5.51E-05
1.81507,7.25E-04,6.10E-05
1.83887,7.46E-04,5.93E-05
1.86282,7.35E-04,6.40E-05
1.88694,7.40E-04,6.15E-05
1.9112,7.50E-04,6.16E-05
1.93563,7.91E-04,5.67E-05
1.96021,7.90E-04,5.88E-05
1.98496,8.03E-04,7.11E-05
2.00987,8.22E-04,6.15E-05
2.03494,8.94E-04,7.44E-05
2.06017,9.00E-04,6.38E-05
2.08558,8.85E-04,6.46E-05
2.11115,8.98E-04,8.01E-05
2.13689,8.88E-04,6.46E-05
2.1628,9.12E-04,6.79E-05
2.18888,8.75E-04,6.19E-05
2.21514,8.78E-04,6.74E-05
2.24157,8.86E-04,7.69E-05
2.26818,9.33E-04,7.04E-05
2.29497,9.86E-04,6.82E-05
2.32194,1.01E-03,7.06E-05
2.34909,1.08E-03,7.09E-05
2.37642,1.06E-03,7.67E-05
2.40394,1.06E-03,6.79E-05
2.43164,1.04E-03,7.19E-05
2.45954,1.06E-03,7.59E-05
2.48762,1.09E-03,6.83E-05
2.5159,1.08E-03,7.49E-05
2.54437,1.12E-03,7.87E-05
2.57303,1.13E-03,7.66E-05
2.60189,1.20E-03,7.80E-05
2.63095,1.18E-03,7.40E-05
2.66022,1.24E-03,6.91E-05
2.68968,0.0012,7.30E-05
2.71935,0.00115,8.74E-05
2.74923,0.00117,8.81E-05
2.77931,0.0012,8.24E-05
2.80961,0.00128,8.41E-05
2.84011,0.00128,7.94E-05
2.87083,0.00133,8.74E-05
2.90177,0.0014,7.98E-05
2.93293,0.00139,7.73E-05
2.96431,0.00141,7.81E-05
2.99591,0.00141,8.14E-05
3.02773,0.00142,8.10E-05
3.05978,0.00145,7.18E-05
3.09206,0.00146,7.88E-05
3.12457,0.00153,7.48E-05
3.15731,0.0015,8.51E-05
3.19029,0.00155,7.60E-05
3.22351,0.00152,8.22E-05
3.25697,0.00153,8.80E-05
3.29067,0.00152,9.35E-05
3.32461,0.00155,8.56E-05
3.35881,0.00158,8.85E-05
3.39325,0.00161,8.25E-05
3.42794,0.0017,9.07E-05
3.46289,0.00172,8.39E-05
3.49809,0.0018,8.18E-05
3.53356,0.00179,8.59E-05
3.56929,0.00184,9.22E-05
3.60528,0.00182,8.04E-05
3.64154,0.00187,9.39E-05
3.67806,0.00189,9.23E-05
3.71486,0.00197,9.73E-05
3.75194,0.00199,9.65E-05
