Energy,DOS,Error
0.02148,3.45E-04,6.82E-07
0.0347,7.81E-04,1.63E-06
0.04798,0.00119,2.79E-06
0.06134,0.00151,3.96E-06
0.07477,0.0017,4.98E-06
0.08828,0.00172,5.77E-06
0.10185,0.00161,6.20E-06
0.1155,0.00141,6.27E-06
0.12922,0.00119,6.08E-06
0.14301,9.98E-04,5.85E-06
0.15688,8.55E-04,5.62E-06
0.17083,7.63E-04,5.68E-06
0.18484,7.22E-04,5.81E-06
0.19894,7.11E-04,6.37E-06
0.21311,7.16E-04,6.81E-06
0.22736,7.27E-04,7.24E-06
0.24168,7.43E-04,7.73E-06
0.25609,7.63E-04,8.36E-06
0.27057,7.92E-04,8.77E-06
0.28513,8.14E-04,9.38E-06
0.29977,8.41E-04,9.94E-06
0.3145,8.56E-04,1.06E-05
0.3293,8.72E-04,1.09E-05
0.34419,8.94E-04,1.14E-05
0.35915,9.17E-04,1.24E-05
0.3742,9.39E-04,1.28E-05
0.38934,9.53E-04,1.31E-05
0.40455,9.74E-04,1.41E-05
0.41985,9.93E-04,1.44E-05
0.43524,1.01E-03,1.48E-05
0.45072,1.03E-03,1.55E-05
0.46628,1.05E-03,1.61E-05
0.48192,1.06E-03,1.65E-05
0.49766,1.08E-03,1.73E-05
0.51348,1.10E-03,1.78E-05
0.5294,1.11E-03,1.82E-05
0.5454,1.14E-03,1.87E-05
0.56149,1.16E-03,1.96E-05
0.57768,1.18E-03,2.04E-05
0.59396,1.20E-03,2.05E-05
0.61033,1.21E-03,2.13E-05
0.62679,1.24E-03,2.17E-05
0.64335,1.26E-03,2.26E-05
0.66,1.28E-03,2.31E-05
0.67674,1.30E-03,2.34E-05
0.69359,1.31E-03,2.49E-05
0.71053,1.32E-03,2.37E-05
0.72757,1.33E-03,2.55E-05
0.74471,1.37E-03,2.59E-05
0.76194,1.40E-03,2.70E-05
0.77928,1.42E-03,2.74E-05
0.79672,1.43E-03,2.77E-05
0.81425,1.46E-03,2.80E-05
0.8319,1.48E-03,3.06E-05
