Energy (meV),Original DOS (normalized),Broadened DOS (normalized)
0.0,0.01663327882545041,0.05097633365035914
0.1,0.0,1.7223977630015472e-54
0.2,0.0,2.3245865322686288e-54
0.3,0.0,3.1361700964995675e-54
0.4,0.0,4.229559611440877e-54
0.5,0.0,5.702067589862027e-54
0.6,0.0,7.68442299200892e-54
0.7,0.0,1.0352181486794315e-53
0.8,0.0,3.059004272724938e-46
0.9,0.0,2.163725500856971e-22
1.0,0.0,4.415454596972475e-08
1.1,0.0033929423636275737,0.0025995599854398486
1.2,0.0,4.415454596972695e-08
1.3,0.0,2.1637255008570783e-22
1.4,0.0,5.425710135502015e-46
1.5,0.0,3.4217420443256403e-37
1.6,0.0,4.137053933672422e-29
1.7,0.0,4.182884862132791e-22
1.8,0.0,3.5367262773256606e-16
1.9,0.0,2.5007357290298053e-11
2.0,0.0,1.4786825921052858e-07
2.1,0.0,7.311776912928764e-05
2.2,0.0,0.0030235121323695918
2.3,0.017783436952337937,0.010455415828131998
2.4,0.0,0.0030235121323695584
2.5,0.0,7.311776912928608e-05
2.6,0.0,1.4786825921119906e-07
2.7,0.0,2.5008529275378536e-11
2.8,0.0,8.458727881812521e-13
2.9,0.0,2.5364789634336854e-10
3.0,0.0,3.1640663793524784e-08
3.1,0.0,1.6412184644411544e-06
3.2,0.0,3.5399219751000685e-05
3.3,0.0,0.00031748811478077835
3.4,0.0,0.0011840437275501133
3.5,0.00482120545716337,0.0018361768090996127
3.6,0.0,0.0011840437276928028
3.7,0.0,0.0003174881260854412
3.8,0.0,3.5399784983467365e-05
3.9,0.0,1.6590553006003676e-06
4.0,0.0,3.8688714391947735e-07
4.1,0.0,4.465680512135566e-06
4.2,0.0,3.542561718672108e-05
4.3,0.0,0.00017737527668341835
4.4,0.0,0.0005605185550393364
4.5,0.0,0.0011179133402231148
4.6,0.005089444998729824,0.0014071731018313537
4.7,0.0,0.0011179136920843387
4.8,0.0,0.0005605244904340077
4.9,0.0,0.00017745166845019273
5.0,0.0,3.6176967362203966e-05
5.1,0.0,1.0112710908152734e-05
5.2,0.0,3.279195786973099e-05
5.3,0.0,0.00014239306539170845
5.4,0.0,0.0004775655593560367
5.5,0.0,0.0012241396752704805
5.6,0.0,0.0023978935122399175
5.7,0.0,0.00358946136259205
5.8,0.019427683338913482,0.00410609866463536
5.9,0.0,0.0035894863752884273
6.0,0.0,0.002398052185486315
6.1,0.0,0.0012249726082702425
6.2,0.0,0.000481236464120326
6.3,0.0,0.0001559668619656183
6.4,0.0,7.469505084767289e-05
6.5,0.0,0.0001159947497824932
6.6,0.0,0.00024275481305311764
6.7,0.0,0.00044582553835219454
6.8,0.0,0.0006895641936015591
6.9,0.0,0.0008959226163409476
7.0,0.005741858130770987,0.0009777350679023005
7.1,0.0,0.0008965484661791871
7.2,0.0,0.0006919193456395754
7.3,0.0,0.00045324880388753175
7.4,0.0,0.00026304691428916154
7.5,0.0,0.00016263839865551647
7.6,0.0,0.0001573469560017178
7.7,0.0,0.0002379527337018849
7.8,0.0,0.0003911038771266896
7.9,0.0,0.000593538861818507
8.0,0.0,0.0008037624700663263
8.1,0.0,0.0009666405085375701
8.2,0.007202971663814348,0.0010345042525203199
8.3,0.0,0.0009931890567401506
8.4,0.0,0.0008751392858475785
8.5,0.0,0.0007500756616645979
8.6,0.0,0.0006992003644954165
8.7,0.0,0.0007873154632893794
8.8,0.0,0.0010430890115406084
8.9,0.0,0.0014491654745324442
9.0,0.0,0.001941162828055615
9.1,0.0,0.0024179350978016587
9.2,0.0,0.0027663526101629485
9.3,0.023519857239687036,0.0028968769819703198
9.4,0.0,0.0027761582435204355
9.5,0.0,0.0024399249551001144
9.6,0.0,0.0019784473162841494
9.7,0.0,0.001502052604778659
9.8,0.0,0.0011042759244842505
9.9,0.0,0.000838573719616091
10.0,0.0,0.0007141662393663371
10.1,0.0,0.0007062034517945317
10.2,0.0,0.0007713945191157987
10.3,0.0,0.000862415398669333
10.4,0.0,0.00093858840322396
10.5,0.008878664405147401,0.0009728562835710584
10.6,0.0,0.000955316142669334
10.7,0.0,0.0008930394314680747
10.8,0.0,0.000806054984703386
