Energy (meV),Original DOS (normalized),DOS
0,0.017875755,0.050976334
0.1,0,6.75E-58
0.2,0,9.49E-58
0.3,0,1.33E-57
0.4,0,1.88E-57
0.5,0,2.63E-57
0.6,0,3.70E-57
0.7,0,5.19E-57
0.8,0,3.25E-46
0.9,0,2.30E-22
1,0,4.69E-08
1.1,0.003871937,0.002760356
1.2,0,4.69E-08
1.3,0,2.30E-22
1.4,0,5.75E-46
1.5,0,3.61E-37
1.6,0,4.37E-29
1.7,0,4.42E-22
1.8,0,3.74E-16
1.9,0,2.64E-11
2,0,1.56E-07
2.1,0,7.72E-05
2.2,0,0.003193368
2.3,0.020185498,0.011042783
2.4,0,0.003193368
2.5,0,7.72E-05
2.6,0,1.56E-07
2.7,0,2.64E-11
2.8,0,8.38E-13
2.9,0,2.51E-10
3,0,3.13E-08
3.1,0,1.62E-06
3.2,0,3.50E-05
3.3,0,0.000314345
3.4,0,0.001172321
3.5,0.005130041,0.001817997
3.6,0,0.001172321
3.7,0,0.000314345
3.8,0,3.50E-05
3.9,0,1.64E-06
4,0,4.30E-07
4.1,0,5.01E-06
4.2,0,3.98E-05
4.3,0,0.000199135
4.4,0,0.000629282
4.5,0,0.001255057
4.6,0.006140618,0.001579802
4.7,0,0.001255057
4.8,0,0.000629288
4.9,0,0.000199211
5,0,4.05E-05
5.1,0,1.06E-05
5.2,0,3.25E-05
5.3,0,0.000141113
5.4,0,0.000473265
5.5,0,0.001213116
5.6,0,0.0023763
5.7,0,0.003557137
5.8,0.020690876,0.004069123
5.9,0,0.00355717
6,0,0.00237651
6.1,0,0.001214218
6.2,0,0.000478123
6.3,0,0.00015908
6.4,0,8.81E-05
6.5,0,0.00015163
6.6,0,0.000321012
6.7,0,0.00058998
6.8,0,0.000912566
6.9,0,0.001185659
7,0.008166387,0.001293915
7.1,0,0.001186416
7.2,0,0.000915414
7.3,0,0.000598967
7.4,0,0.000345698
7.5,0,0.000209227
7.6,0,0.000195008
7.7,0,0.000289121
7.8,0,0.000473048
7.9,0,0.000717304
8,0,0.000971085
8.1,0,0.00116732
8.2,0.009354993,0.001247739
8.3,0,0.001193889
8.4,0,0.001042485
8.5,0,0.000873736
8.6,0,0.000780283
8.7,0,0.000834679
8.8,0,0.00106806
8.9,0,0.001461548
9,0,0.001947617
9.1,0,0.00242218
9.2,0,0.002770142
9.3,0.025303174,0.002901
9.4,0,0.002781204
9.5,0,0.002446823
9.6,0,0.001988851
9.7,0,0.001518567
9.8,0,0.001130449
9.9,0,0.000878561
10,0,0.000772011
10.1,0,0.000784805
10.2,0,0.000871423
10.3,0,0.000981568
10.4,0,0.001071578
10.5,0.010905649,0.001112331
10.6,0,0.001093558
10.7,0,0.001023956
10.8,0,0.000926827
10.9,0,0.000832253
11,0,0.000768138
11.1,0,0.000752785
11.2,0,0.000790942
11.3,0,0.000873916
11.4,0,0.000983143
11.5,0,0.001095932
11.6,0,0.001191839
11.7,0.013003513,0.001258189
11.8,0,0.001293448
11.9,0,0.001307594
12,0,0.001319313
12.1,0,0.001350699
12.2,0,0.001420842
12.3,0,0.001540045
12.4,0,0.001706238
12.5,0,0.001904521
12.6,0,0.002109939
12.7,0,0.002292754
12.8,0,0.002424871
12.9,0.030239023,0.002485813
13,0,0.00246682
13.1,0,0.002372139
13.2,0,0.002217329
13.3,0,0.002025233
13.4,0,0.001820768
13.5,0,0.00162598
13.6,0,0.001456504
13.7,0,0.001320115
13.8,0,0.001217328
13.9,0,0.001143522
14,0.011177117,0.001091714
14.1,0,0.001055146
14.2,0,0.001029058
14.3,0,0.001011378
14.4,0,0.001002427
14.5,0,0.001003964
14.6,0,0.001017998
14.7,0,0.001045788
14.8,0,0.001087289
14.9,0,0.001141132
15,0,0.001205065
15.1,0,0.001276633
15.2,0.014346792,0.001353857
15.3,0,0.001435684
15.4,0,0.001522047
15.5,0,0.001613546
15.6,0,0.001710805
15.7,0,0.001813722
15.8,0,0.001920792
15.9,0,0.002028734
16,0,0.002132516
16.1,0,0.002225818
16.2,0,0.00230186
16.3,0,0.002354408
16.4,0.035067272,0.002378777
16.5,0,0.002372614
16.6,0,0.002336312
16.7,0,0.002272994
16.8,0,0.002188066
16.9,0,0.002088467
17,0,0.001981746
17.1,0,0.001875146
17.2,0,0.001774842
17.3,0,0.001685438
17.4,0,0.001609752
17.5,0,0.001548889
17.6,0.015007622,0.001502516
17.7,0,0.001469263
17.8,0,0.001447154
17.9,0,0.001433988
18,0,0.001427636
18.1,0,0.001426217
18.2,0,0.001428192
18.3,0,0.001432368
18.4,0,0.00143788
18.5,0,0.00144415
18.6,0,0.00145086
18.7,0.017979955,0.001457942
18.8,0,0.001465571
18.9,0,0.001474165
19,0,0.001484367
19.1,0,0.001497011
19.2,0,0.001513059
19.3,0,0.001533517
19.4,0,0.001559341
19.5,0,0.001591339
19.6,0,0.001630078
19.7,0,0.001675821
19.8,0,0.001728478
19.9,0.017363823,0.001787593
20,0,0.001852344
20.1,0,0.00192158
20.2,0,0.001993857
20.3,0,0.002067498
20.4,0,0.00214066
20.5,0,0.002211407
20.6,0,0.002277793
20.7,0,0.002337948
20.8,0,0.002390169
20.9,0,0.002433013
21,0,0.00246538
21.1,0.040687083,0.002486583
21.2,0,0.002496402
21.3,0,0.002495105
21.4,0,0.002483445
21.5,0,0.002462616
21.6,0,0.002434188
21.7,0,0.002400014
21.8,0,0.002362116
21.9,0,0.002322579
22,0,0.002283427
22.1,0,0.002246537
22.2,0,0.002213548
22.3,0.020857911,0.002185813
22.4,0,0.002164364
22.5,0,0.002149906
22.6,0,0.002142829
22.7,0,0.002143236
22.8,0,0.002150981
22.9,0,0.002165704
23,0,0.002186878
23.1,0,0.002213843
23.2,0,0.002245835
23.3,0,0.002282014
23.4,0.023527515,0.002321485
23.5,0,0.002363314
23.6,0,0.00240654
23.7,0,0.002450195
23.8,0,0.002493316
23.9,0,0.002534962
24,0,0.002574241
24.1,0,0.002610324
24.2,0,0.002642477
24.3,0,0.002670082
24.4,0,0.002692662
24.5,0,0.0027099
24.6,0.045098343,0.002721656
24.7,0,0.00272798
24.8,0,0.002729109
24.9,0,0.002725467
25,0,0.002717653
25.1,0,0.002706418
25.2,0,0.002692639
25.3,0,0.002677289
25.4,0,0.002661398
25.5,0,0.002646017
25.6,0,0.00263218
25.7,0,0.002620864
25.8,0.024947681,0.002612961
25.9,0,0.002609244
26,0,0.002610348
26.1,0,0.002616751
26.2,0,0.002628765
26.3,0,0.002646531
26.4,0,0.002670024
26.5,0,0.002699056
26.6,0,0.002733295
26.7,0,0.002772276
26.8,0,0.002815424
26.9,0,0.002862072
27,0.027811362,0.002911486
27.1,0,0.002962891
27.2,0,0.003015487
27.3,0,0.003068479
27.4,0,0.003121096
27.5,0,0.00317261
27.6,0,0.003222357
27.7,0,0.003269747
27.8,0,0.003314285
27.9,0,0.003355573
28,0,0.003393324
28.1,0.054885515,0.00342736
28.2,0,0.003457614
28.3,0,0.003484127
28.4,0,0.003507042
28.5,0,0.003526596
28.6,0,0.003543104
28.7,0,0.003556952
28.8,0,0.003568576
28.9,0,0.00357845
29,0,0.003587067
29.1,0,0.003594927
29.2,0,0.003602517
29.3,0.037246555,0.003610302
29.4,0,0.00361871
29.5,0,0.003628122
29.6,0,0.003638866
29.7,0,0.003651212
29.8,0,0.003665366
29.9,0,0.003681472
30,0,0.003699615
30.1,0,0.003719817
30.2,0,0.003742053
30.3,0,0.003766246
