Energy (meV),DOS
0,0.050394003
0.1,1.73E-48
0.2,2.19E-48
0.3,2.76E-48
0.4,3.49E-48
0.5,4.41E-48
0.6,5.56E-48
0.7,7.02E-48
0.8,1.98E-46
0.9,1.34E-22
1,2.73E-08
1.1,0.001605609
1.2,2.73E-08
1.3,1.34E-22
1.4,2.59E-46
1.5,4.95E-38
1.6,5.99E-30
1.7,6.05E-23
1.8,5.12E-17
1.9,3.62E-12
2,2.14E-08
2.1,1.06E-05
2.2,0.000437454
2.3,0.001512732
2.4,0.000437454
2.5,1.06E-05
2.6,2.14E-08
2.7,3.62E-12
2.8,3.49E-12
2.9,1.05E-09
3,1.31E-07
3.1,6.78E-06
3.2,0.000146228
3.3,0.001311485
3.4,0.004891065
3.5,0.007584906
3.6,0.004891065
3.7,0.001311485
3.8,0.000146228
3.9,6.80E-06
4,4.53E-07
4.1,4.05E-06
4.2,3.21E-05
4.3,0.00016083
4.4,0.000508235
4.5,0.001013639
4.6,0.001275917
4.7,0.001013639
4.8,0.000508237
4.9,0.00016085
5,3.23E-05
5.1,5.52E-06
5.2,8.79E-06
5.3,3.72E-05
5.4,0.000124698
5.5,0.000319637
5.6,0.000626118
5.7,0.000937252
5.8,0.001072163
5.9,0.000937345
6,0.000626706
6.1,0.000322723
6.2,0.000138301
6.3,8.75E-05
6.4,0.00016504
6.5,0.000410322
6.6,0.00089684
6.7,0.001651556
6.8,0.002554855
6.9,0.003319363
7,0.003622101
7.1,0.0033198
7.2,0.002556503
7.3,0.001656777
7.4,0.000911349
7.5,0.000445389
7.6,0.000236996
7.7,0.000207138
7.8,0.000284305
7.9,0.000417106
8,0.000561549
8.1,0.00067365
8.2,0.000717417
8.3,0.000679691
8.4,0.000577473
8.5,0.000450345
8.6,0.000342667
8.7,0.00028673
8.8,0.000294656
8.9,0.000359061
9,0.000458172
9.1,0.000562329
9.2,0.00064143
9.3,0.000673192
9.4,0.000650174
9.5,0.000582335
9.6,0.000493416
9.7,0.000412604
9.8,0.000365247
9.9,0.000366165
10,0.000417054
10.1,0.000507487
10.2,0.000618312
10.3,0.000726586
10.4,0.00081145
10.5,0.000860061
10.6,0.000872024
10.7,0.000860632
10.8,0.000850018
10.9,0.000868722
11,0.000941497
11.1,0.001081715
11.2,0.001286485
11.3,0.00153575
11.4,0.001795668
11.5,0.002025603
11.6,0.002187178
11.7,0.002253176
11.8,0.002213897
11.9,0.002079114
12,0.001875082
12.1,0.001637563
12.2,0.001403102
12.3,0.001201147
12.4,0.001049053
12.5,0.000950853
12.6,0.000899396
12.7,0.000880638
12.8,0.000878519
12.9,0.000879143
13,0.000873412
13.1,0.000857873
13.2,0.000833983
13.3,0.00080632
13.4,0.000780386
13.5,0.000760653
13.6,0.000749303
13.7,0.000745873
13.8,0.000747756
13.9,0.00075128
14,0.000752973
14.1,0.000750635
14.2,0.00074394
14.3,0.00073447
14.4,0.000725239
14.5,0.000719909
14.6,0.000721949
14.7,0.000733962
14.8,0.000757347
14.9,0.000792327
15,0.000838276
15.1,0.000894193
15.2,0.000959164
15.3,0.001032634
15.4,0.001114423
15.5,0.001204461
15.6,0.001302325
15.7,0.001406728
15.8,0.00151509
15.9,0.001623363
16,0.00172617
16.1,0.001817273
16.2,0.001890312
16.3,0.001939653
16.4,0.001961212
16.5,0.001953078
16.6,0.001915816
16.7,0.001852409
16.8,0.001767853
16.9,0.00166849
17,0.001561205
17.1,0.001452631
17.2,0.001348492
17.3,0.001253148
17.4,0.00116941
17.5,0.001098581
17.6,0.001040687
17.7,0.000994818
17.8,0.000959504
17.9,0.000933051
18,0.000913814
18.1,0.000900362
18.2,0.000891565
18.3,0.000886603
18.4,0.000884936
18.5,0.000886254
18.6,0.000890428
18.7,0.000897466
18.8,0.000907492
18.9,0.000920723
19,0.000937454
19.1,0.000958033
19.2,0.000982834
19.3,0.001012218
19.4,0.001046483
19.5,0.001085823
19.6,0.001130279
19.7,0.00117971
19.8,0.001233765
19.9,0.001291872
20,0.001353241
20.1,0.001416871
20.2,0.001481578
20.3,0.001546018
20.4,0.001608734
20.5,0.0016682
20.6,0.001722883
20.7,0.001771309
20.8,0.001812136
20.9,0.00184423
21,0.001866736
21.1,0.001879138
21.2,0.001881305
21.3,0.00187351
21.4,0.001856428
21.5,0.001831103
21.6,0.001798891
21.7,0.001761382
21.8,0.00172031
21.9,0.001677457
22,0.001634558
22.1,0.001593219
22.2,0.001554852
22.3,0.001520628
22.4,0.001491448
22.5,0.001467947
22.6,0.001450496
22.7,0.001439236
22.8,0.001434104
22.9,0.001434876
23,0.001441202
23.1,0.001452637
23.2,0.001468674
23.3,0.001488763
23.4,0.001512327
23.5,0.001538776
23.6,0.001567512
23.7,0.001597937
23.8,0.001629453
23.9,0.001661471
24,0.001693413
24.1,0.00172472
24.2,0.001754858
24.3,0.001783331
24.4,0.001809685
24.5,0.001833524
24.6,0.001854514
24.7,0.001872391
24.8,0.001886973
24.9,0.001898154
25,0.001905914
25.1,0.001910312
25.2,0.001911482
25.3,0.001909632
25.4,0.001905029
25.5,0.001897994
25.6,0.001888891
25.7,0.001878116
25.8,0.001866088
25.9,0.001853236
26,0.001839993
26.1,0.001826787
26.2,0.001814033
26.3,0.001802127
26.4,0.001791438
26.5,0.001782307
26.6,0.001775039
26.7,0.001769899
26.8,0.001767112
26.9,0.001766853
27,0.001769251
27.1,0.001774383
27.2,0.001782271
27.3,0.001792886
27.4,0.001806145
27.5,0.001821909
27.6,0.001839992
27.7,0.00186016
27.8,0.001882133
27.9,0.001905594
28,0.001930194
28.1,0.001955558
28.2,0.001981294
28.3,0.002007
28.4,0.002032271
28.5,0.002056713
28.6,0.002079945
28.7,0.002101614
28.8,0.002121398
28.9,0.002139015
29,0.002154233
29.1,0.002166871
29.2,0.002176804
29.3,0.00218397
29.4,0.002188366
29.5,0.002190053
29.6,0.00218915
29.7,0.002185834
29.8,0.002180332
29.9,0.00217292
30,0.002163911
30.1,0.002153649
30.2,0.002142502
30.3,0.00213085
30.4,0.002119079
30.5,0.002107571
30.6,0.002096693
30.7,0.002086796
30.8,0.002078203
30.9,0.002071204
31,0.002066053
31.1,0.002062965
31.2,0.002062112
31.3,0.002063622
31.4,0.002067581
31.5,0.002074033
31.6,0.002082982
31.7,0.002094391
