Energy,DOS
0.02585,-0.01665
0.0517,0.00486
0.07755,-0.00858
0.1034,0.0049
0.12925,-0.0086
0.1551,0.00495
0.18095,-0.00862
0.2068,0.00501
0.23265,-0.00862
0.2585,0.00504
0.28435,-0.00868
0.3102,0.00507
0.33605,-0.0086
0.3619,0.00514
0.38775,-0.0087
0.4136,0.00521
0.43945,-0.00872
0.4653,0.00536
0.49115,-0.00874
0.517,0.00549
0.54285,-0.00896
0.5687,0.00551
0.59455,-0.00904
0.6204,0.00577
0.64625,-0.00731
0.6721,0.01651
0.69795,0.00108
0.7238,0.00382
0.74965,-0.00495
0.7755,0.00388
0.80135,-0.00267
0.8272,0.00606
0.85305,-0.00358
0.8789,0.01232
0.90475,0.00366
0.9306,0.00513
0.95645,0.00743
0.9823,0.00909
1.00815,6.55E-04
1.034,0.00253
1.05985,0.00384
1.0857,0.00983
1.11155,0.00572
1.1374,0.00428
1.16325,0.00602
1.1891,0.00957
1.21495,0.00935
1.2408,0.00648
1.26665,0.0048
1.2925,0.00532
1.31835,0.00585
1.3442,0.0073
1.37005,0.01176
1.3959,0.01947
1.42175,0.02565
1.4476,0.03374
1.47345,0.0514
1.4993,0.06473
1.52515,0.0545
1.551,0.03111
1.57685,0.01469
1.6027,0.00845
1.62855,0.00731
1.6544,7.91E-03
1.68025,0.00865
1.7061,8.82E-03
1.73195,8.73E-03
1.7578,8.93E-03
1.78365,9.36E-03
1.8095,9.62E-03
1.83535,9.78E-03
1.8612,1.03E-02
1.88705,1.12E-02
1.9129,1.20E-02
1.93875,1.22E-02
1.9646,1.18E-02
1.99045,1.13E-02
2.0163,1.08E-02
2.04215,1.05E-02
2.068,1.07E-02
2.09385,1.17E-02
2.1197,1.36E-02
2.14555,1.60E-02
2.1714,1.83E-02
2.19725,1.99E-02
2.2231,2.08E-02
2.24895,2.08E-02
2.2748,2.03E-02
2.30065,1.93E-02
2.3265,1.82E-02
2.35235,1.73E-02
2.3782,1.70E-02
2.40405,1.71E-02
2.4299,1.75E-02
2.45575,1.78E-02
2.4816,1.81E-02
2.50745,1.83E-02
2.5333,1.87E-02
2.55915,1.93E-02
2.585,2.03E-02
2.61085,2.15E-02
2.6367,2.27E-02
2.66255,2.37E-02
2.6884,2.44E-02
2.71425,2.47E-02
2.7401,2.47E-02
2.76595,2.44E-02
2.7918,2.41E-02
2.81765,2.37E-02
2.8435,2.36E-02
2.86935,2.36E-02
2.8952,2.39E-02
2.92105,2.45E-02
2.9469,2.55E-02
2.97275,2.66E-02
2.9986,2.78E-02
3.02445,2.90E-02
3.0503,3.00E-02
3.07615,3.10E-02
3.102,3.19E-02
3.12785,3.27E-02
3.1537,3.35E-02
3.17955,3.42E-02
3.2054,3.48E-02
3.23125,3.53E-02
3.2571,3.56E-02
3.28295,3.58E-02
3.3088,3.59E-02
3.33465,3.61E-02
3.3605,3.63E-02
3.38635,3.66E-02
3.4122,3.70E-02
3.43805,3.74E-02
3.46391,3.79E-02
3.48976,3.83E-02
3.51561,3.86E-02
3.54146,3.88E-02
3.56731,3.89E-02
3.59316,3.89E-02
3.61901,3.90E-02
3.64486,3.91E-02
3.67071,3.92E-02
3.69656,3.96E-02
3.72241,4.00E-02
3.74826,4.06E-02
3.77411,4.14E-02
3.79996,4.22E-02
3.82581,4.31E-02
3.85166,4.40E-02
3.87751,4.49E-02
3.90336,4.57E-02
3.92921,4.64E-02
3.95506,4.70E-02
3.98091,4.76E-02
4.00676,4.80E-02
4.03261,4.85E-02
4.05846,4.89E-02
4.08431,4.94E-02
4.11016,4.98E-02
4.13601,5.04E-02
4.16186,5.09E-02
4.18771,5.14E-02
4.21356,5.20E-02
4.23941,5.25E-02
4.26526,5.30E-02
4.29111,5.35E-02
4.31696,5.40E-02
4.34281,5.44E-02
4.36866,5.50E-02
4.39451,5.55E-02
4.42036,5.62E-02
4.44621,5.69E-02
4.47206,5.77E-02
4.49791,5.85E-02
4.52376,5.94E-02
